Shopping Time:, Collision Count:
60.560005,1
79.330429,6
80.279999,2
87.010429,3
88.379997,10
104.82764,8
101.33043,6
110.22764,8
119.24764,6
122.41042,4
135.69041,9
136.98,4
144.66,11
78.18,1
91.159996,8
101.22,0
196.24765,9
68.419998,3
213.44765,13
143.39999,3
216.83041,18
212.64,9
128.48,6
154.63998,7
111.66,4
73.73999,3
115.05998,8
182.03998,10
83.359985,3
88.680008,3
124.44,8
121.94,6
200.12,17
89.779999,3
125.14,5
114.01999,15
217.24001,6
138.16,7
212.54001,17
82.680023,4
129.32001,3
198.34,12
236.51999,5
180.03998,12
239.13998,14
119.60001,26
205.73999,25
65.900024,1
111.90002,10
82.599976,1
128.70001,1
116.81998,6
239.45999,8
140.10001,3
92.480042,6
117.66847,8
123.46847,9
119.80184,9
122.28185,5
137.66159,5
143.66183,9
147.82184,6
168.44183,4
163.66159,6
195.88847,23
80.800003,5
200.2816,13
77.919998,3
103.09999,5
227.88184,30
83.440002,5
131.3,6
80.179993,4
162.01999,12
78.5,9
75.560013,2
138.94002,9
142.68001,11
87.740005,3
61.899994,0
129.81998,5
92.980011,0
138.98,7
93.640015,5
144.67999,18
135.85999,9
151.76001,10
69,2
137.67999,7
108.79999,0
110.73999,3
91.279999,4
80.5,8
153.12,5
162.31998,12
182.72,14
119.63995,7
215.64001,17
58.5,0
96.339996,3
91.899994,7
112.68002,1
101.80002,10
158.80002,11
88,1
41.440002,3
128.151716,7.330188679
